year,quantum mechanics,theory of relativity,general relativity,special relativity
1968,1.5347254245869278e-06,6.062990879193311e-07,4.7124411446069256e-07,1.7908920657561112e-07
1969,1.4507070221928385e-06,5.833699489191499e-07,4.830549375104251e-07,1.7300725537897472e-07
1970,1.4002373279912002e-06,5.67229721034782e-07,5.116684485630328e-07,1.7254043457474007e-07
1971,1.4254004742245537e-06,5.678714760014104e-07,5.606269411880962e-07,1.7227226483435792e-07
1972,1.4273574875695822e-06,5.469241198343054e-07,6.055815171228979e-07,1.6376093871426992e-07
1973,1.4092357315372996e-06,5.163949049956175e-07,6.218614852266618e-07,1.6564158222820424e-07
1974,1.402782932607189e-06,4.961715488947605e-07,6.397211215361917e-07,1.6924592565510057e-07
1975,1.3725361459445854e-06,4.750555272651066e-07,6.393693067049559e-07,1.6806673551274444e-07
1976,1.4177379204584537e-06,4.80787644363545e-07,6.684678169729555e-07,1.7483427264660835e-07
1977,1.411987291025493e-06,4.7428883931388555e-07,6.644469726170752e-07,1.8013414036589988e-07
1978,1.3921558747702939e-06,4.705203928066583e-07,6.388832853230854e-07,1.842675888700082e-07
1979,1.4106968114292937e-06,4.7330588930678227e-07,6.341899602294429e-07,1.9345425306127595e-07
1980,1.4400361979686034e-06,4.752208046759116e-07,6.631618718293859e-07,1.9426841678184455e-07
1981,1.4685206564430634e-06,4.7429975358337373e-07,6.756886610860745e-07,1.938823346949091e-07
1982,1.543121015856741e-06,4.7177113474524847e-07,7.072405112345288e-07,2.0263636127789854e-07
1983,1.5791265965958703e-06,4.5537220243791717e-07,7.28649043578246e-07,2.0551172744528605e-07
1984,1.6610990241718225e-06,4.61044646159005e-07,7.483774727542627e-07,2.0268597879434326e-07
1985,1.7032129337378268e-06,4.544976525450955e-07,7.442906907937997e-07,1.9993285243253514e-07
1986,1.7195819219344749e-06,4.519976566839747e-07,7.295613733455346e-07,1.9599996368770333e-07
1987,1.742140043908031e-06,4.4839903677397685e-07,7.102957541503332e-07,1.9630092427748637e-07
1988,1.7726270102562985e-06,4.420990472121998e-07,6.998925137224887e-07,1.993142628085666e-07
1989,1.8103606481848343e-06,4.5121880682635105e-07,6.927938405811216e-07,2.060739877470955e-07
1990,1.8039916618306506e-06,4.465512310401566e-07,6.575118666672454e-07,1.9784903769272585e-07
1991,1.7739856649054024e-06,4.281190413291114e-07,6.388448901312975e-07,1.9942568977146126e-07
1992,1.8363788701744203e-06,4.3482051108918137e-07,6.387298608753358e-07,2.0546584716158683e-07
1993,1.8610036386844188e-06,4.3526672450460477e-07,6.214888293522491e-07,2.0674410329744673e-07
1994,1.879215461083764e-06,4.463788174646766e-07,6.063904657769926e-07,2.103167947417209e-07
1995,1.8734861655695615e-06,4.612957534685539e-07,5.806753394629485e-07,2.0662689597423472e-07
1996,1.8178174368951465e-06,4.6518548594117905e-07,5.613253296779926e-07,1.9713652299468976e-07
