year,nuclear energy,nuclear reactor,nuclear physics,nuclear bomb,quantum mechanics,theory of relativity
1964,3.2609581645764204e-06,2.1989448687317496e-06,2.1491879838971987e-06,2.2146885141666977e-07,1.539174347340934e-06,6.624434352175966e-07
1965,3.207049711509821e-06,2.1688972588711815e-06,2.1598538333072222e-06,2.0698042353067031e-07,1.5518929501467937e-06,6.429348213186716e-07
1966,3.0816449298397075e-06,2.077426251340902e-06,2.1717384624610403e-06,1.8674178032489814e-07,1.55074929507139e-06,6.291296372116863e-07
1967,3.0404251966891545e-06,2.0214091490190967e-06,2.1476181940118167e-06,1.7112059829444653e-07,1.5472493716726734e-06,6.236546988677308e-07
1968,2.995928085169908e-06,1.9598986915931552e-06,2.141693309048216e-06,1.571677711468108e-07,1.5347254245869278e-06,6.062990879193311e-07
1969,2.9597743024721368e-06,1.8675810074293101e-06,2.09240301022159e-06,1.4909008504743986e-07,1.4507070221928385e-06,5.833699489191499e-07
1970,3.0004163806194943e-06,1.820546760963485e-06,2.056993380961103e-06,1.3699174214850833e-07,1.4002373279912002e-06,5.67229721034782e-07
1971,3.2855897517590297e-06,1.888988762743793e-06,2.021698035394235e-06,1.3855225846784845e-07,1.4254004742245537e-06,5.678714760014104e-07
1972,3.6581441987339403e-06,1.9544523723880047e-06,1.9932443596612108e-06,1.4005592026609749e-07,1.4273574875695822e-06,5.469241198343054e-07
1973,4.128315926063157e-06,2.099282061708761e-06,1.9466731556251815e-06,1.427950322668054e-07,1.4092357315372996e-06,5.163949049956175e-07
1974,4.696933773727453e-06,2.3106390309684296e-06,1.9340751902875904e-06,1.4720129368602943e-07,1.402782932607189e-06,4.961715488947605e-07
1975,5.139595955938603e-06,2.5480031189723765e-06,1.873417331361387e-06,1.4858507563220158e-07,1.3725361459445854e-06,4.750555272651066e-07
1976,5.589850695335892e-06,2.894260886827331e-06,1.8288192801410981e-06,1.5553525361295636e-07,1.4177379204584537e-06,4.80787644363545e-07
1977,6.020258386537794e-06,3.079805879784609e-06,1.8901946481670556e-06,1.6478360411108032e-07,1.411987291025493e-06,4.7428883931388555e-07
1978,6.069814438498204e-06,3.154560215331717e-06,1.9554537412805724e-06,1.702029417881081e-07,1.3921558747702939e-06,4.705203928066583e-07
1979,5.993561042519754e-06,3.2285862567554043e-06,2.1398008952035393e-06,1.774037644722678e-07,1.4106968114292937e-06,4.7330588930678227e-07
1980,5.837098334333339e-06,3.288695397023795e-06,2.2327164554017794e-06,1.839673847068925e-07,1.4400361979686034e-06,4.752208046759116e-07
1981,5.479129561487233e-06,3.171419281094196e-06,2.4532497278073606e-06,1.9228148598734608e-07,1.4685206564430634e-06,4.7429975358337373e-07
